index,Country/Region,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,Deaths_/_100_Cases,Recovered_/_100_Cases,Deaths_/_100_Recovered,Confirmed_last_week,1_week_change,1_week_%_increase,Total_Cases,Total_Recovered,Death_Rate,Total_death
63,Gambia,8.0,66,252,49.0,2.0,6,2.45,20.25,12.12,112,214,191.07,383.0,72,3.0,10.0
64,Georgia,16.0,922,199,6.0,0.0,2,1.41,81.09,1.74,1039,98,9.43,1145.0,924,1.0,16.0
65,Germany,9125.0,190314,7673,445.0,1.0,259,4.41,91.89,4.79,203325,3787,1.86,207817.0,190573,4.0,9126.0
66,Ghana,168.0,29801,3655,655.0,0.0,307,0.5,88.63,0.56,28430,5194,18.27,34586.0,30108,0.0,168.0
67,Greece,202.0,1374,2651,34.0,0.0,0,4.78,32.51,14.7,4012,215,5.36,4261.0,1374,5.0,202.0
68,Greenland,0.0,13,1,1.0,0.0,0,0.0,92.86,0.0,13,1,7.69,15.0,13,0.0,0.0
69,Grenada,0.0,23,0,0.0,0.0,0,0.0,100.0,0.0,23,0,0.0,23.0,23,0.0,0.0
70,Guatemala,1761.0,32455,11093,256.0,27.0,843,3.89,71.63,5.43,39039,6270,16.06,46435.0,33298,4.0,1788.0
71,Guinea,45.0,6257,753,47.0,2.0,105,0.64,88.69,0.72,6590,465,7.06,7209.0,6362,1.0,47.0
72,Guinea-Bissau,26.0,803,1125,0.0,0.0,0,1.33,41.1,3.24,1949,5,0.26,1954.0,803,1.0,26.0
73,Guyana,20.0,181,188,1282.7401129943503,30.401129943502823,0,5.14,46.53,11.05,337,52,15.43,1702.1412429378531,181,3.0,50.40112994350282
74,Haiti,158.0,4365,2817,25.0,1.0,0,2.15,59.47,3.62,7053,287,4.07,7366.0,4365,2.0,159.0
75,Holy See,0.0,12,0,0.0,0.0,0,0.0,100.0,0.0,12,0,0.0,12.0,12,0.0,0.0
76,Honduras,1166.0,5039,33536,465.0,50.0,117,2.93,12.68,23.14,34611,5130,14.82,40373.0,5156,3.0,1216.0
77,Hungary,596.0,3329,523,13.0,0.0,0,13.4,74.84,17.9,4339,109,2.51,4461.0,3329,13.0,596.0
78,Iceland,10.0,1823,21,7.0,0.0,0,0.54,98.33,0.55,1839,15,0.82,1861.0,1823,1.0,10.0
79,India,33408.0,951166,495499,44457.0,637.0,33598,2.26,64.26,3.51,1155338,324735,28.11,1558765.0,984764,2.0,34045.0
80,Indonesia,4838.0,58173,37292,1525.0,57.0,1518,4.82,58.0,8.32,88214,12089,13.7,103403.0,59691,5.0,4895.0
81,Iran,15912.0,255144,22550,2434.0,212.0,1931,5.42,86.9,6.24,276202,17404,6.3,298183.0,257075,5.0,16124.0
82,Iraq,4458.0,77144,30983,2553.0,96.0,1927,3.96,68.52,5.78,94693,17892,18.89,117161.0,79071,4.0,4554.0
83,Ireland,1764.0,23364,764,11.0,0.0,0,6.81,90.24,7.55,25766,126,0.49,25903.0,23364,7.0,1764.0
84,Israel,474.0,27133,36378,2029.0,4.0,108,0.74,42.41,1.75,52003,11982,23.04,66126.0,27241,1.0,478.0
85,Italy,35112.0,198593,12581,168.0,5.0,147,14.26,80.64,17.68,244624,1662,0.68,246606.0,198740,14.0,35117.0
86,Jamaica,10.0,714,129,11.0,0.0,0,1.17,83.7,1.4,809,44,5.44,864.0,714,1.0,10.0
87,Japan,998.0,21970,8174,594.0,0.0,364,3.2,70.55,4.54,25706,5436,21.15,32100.0,22334,3.0,998.0
